sentenca,categoria_maritaka
Ambiente super agradável.,ambiente
O restaurante ainda não adicionou grande parte dos itens populares do Amazonas no cardápio preferindo manter o que todas as franquias possuem.,"comida, cardápio"
"Ambiente agradável, restaurante charmoso, com ótimo atendimento.","ambiente, serviço"
"Decoração temática com móveis, brinquedos , objetos antigos e muitas guitarras tudo isso somado a um bom atendimento.","ambiente, serviço"
Melhor restaurante de Manaus.... melhor ambiente agradável?,ambiente
Excelente ambiente.,ambiente
"Ambiente legal com outras atrações próximas, muito conveniente.",localização
"Excelente bar com boa música, porem o atendimento é um pouco demorado e o local é bem apertado","<frase>
                ambiente, serviço, outros"
Ambiente e música muito boa ...,"ambiente, música"
"Ambiente agradável, música ao vivo, bebida gelada.","ambiente, música, bebida"
"Ambiente agradável, comida deliciosa e atendimento excelente.","comida, ambiente, serviço"
"musica boa, ambiente bom, gente descontraída, bacana.","ambiente, outros"
Música muito alta,música
"Ambiente agradável, sem contar que o atendimento foi perfeito feito pela srta.","ambiente, serviço"
"Ambiente agradável,  cardápio variado e excelentes profissionais de apoio.","ambiente, comida, serviço"
"Ambiente bom , música boa , falta um melhor controle de comanda.","ambiente, música, serviço"
"Ótimo ambiente e bom atendimento, porém os preços poderiam ser mais atrativos","ambiente, serviço, preço"
"Ótimo lugar,  ambiente agradável e atendimento rápido","ambiente, serviço"
"Ambiente muito bom, música ambiente ótima e comida maravilhosa.","ambiente, comida, bebida"
"Climatizado, com decoração típica do Rio Grande do Sul e excelente atendimento, oferece self-service e pratos à La Carte, típicos gaúchos e também da culinária regional e nacional.","ambiente, comida, serviço"
"Atendimento excelente, música ambiente super agradável e o funcionário Pablo extremamente atencioso.","serviço, ambiente, outros"
"Pizza maravilhosa, ambiente seguro e atendimento excelente!","comida, ambiente, serviço"
"Ótimo atendimento,requinte,Boa música, ambiente romântico,familiar e para uma boa reunião entre amigos e negócios.","serviço, ambiente, outros"
Ambiente fino e muito bem frequentado.,ambiente
"Comida sempre muito gostosa, ambiente agradável, recomendo 100%.","comida, ambiente, geral"
Música boas.,música
Ambiente muito legal com musica  boa (Rock leve) e o hambúrguer também estava saboroso.,"comida, ambiente, outros"
"É um dos melhores restaurantes que ja visitei, possui um ótimo cardapio, vasto cardapio de bebidas e drinks, em especial o cosmopolitan, e um ambiente muito aconchegante.","comida, bebida, ambiente"
"Excelente atendimento, ambiente maravilhoso e comida sensacional!","serviço, ambiente, comida"
"Carne de Sol super saborosa e com acompanhamento delicioso, preço acessível e ambiente agradável.","comida, bebida, preço, ambiente"
Ótimo local com um excelente atendimento,"serviço, ambiente"
Encomendo ótimo ambiente excelente atendimento,"ambiente, serviço"
"Rodizio de carnes é excelente com os amigos, ambiente natural, banheiros limpos, lugar ideal para levar a família nos finais de semanas ou até mesmo encontrar os amigos.","comida, ambiente, limpeza, localização"
"Ambiente escuro, como se você estivesse num pub.",ambiente
Ambiente agradável e com uma comida típica regional.,"comida, ambiente"
Comida impecável boa carta de vinhos .Local muito bonito e bom atendimento.,"comida, bebida, ambiente, serviço"
"Tem um ótimo atendimento e uma comida excelente,  ambiente agradável um bom lugar para comemorar algo especial.","serviço, comida, ambiente"
"Serviço impecável, padrão nos pratos, ambiente agradável","serviço, comida, ambiente"
Ambiente aconchegante,ambiente
"Ambiente bom, mas a carne que é oferecida como carne de sol, não é e o bolinho de macaxeira não tem recheio.","comida, ambiente"
"Ótimo ambiente, comidas deliciosas , cerveja gelada e o atendimento fantástico do Izaquiel, sempre atencioso e com ótimas dicas!!","ambiente, comida, bebida, serviço"
"Ótimo ambiente e excelente atendimento, com bons preços e boa comida... Mais que recomendado.","ambiente, serviço, preço, comida"
"Ambiente amplo, cardápio variado e bom atendimento, ótima opção para refeição com a família, amigos e trabalho.","ambiente, cardápio, serviço"
Localização de fácil acesso para todos.. É servido comidas tipicas do nordeste.,"localização, comida"
"Atendimento do garçom Luiz excelente e o prato escolhido foi o Câmara búzios muito bom, música ambiente maravilhosa.","serviço, comida, ambiente"
Apresenta um bom espaço.,ambiente
"Além disso, o atendimento é muito bom e o ambiente super agradável!!!","serviço, ambiente"
Lugar agradável pena que tiraram o espaço kids.,"ambiente, outros"
"O lugar é bom pra frequentar pois tem um ambiente seguro, uma boa programação musical e bebida em dobro.","ambiente, programação musical, bebida"
A companhia dos amigos em um ambiente confortável,"companhia dos amigos, ambiente confortável"
"Culinária impecável, ambiente sofisticado, atendimento muito bom.","comida, ambiente, serviço"
"Local excelente, ambiente agradabilíssimo, atendimento nota 2000, #maislugaresassimemanaus","localização, ambiente, serviço"
Ambiente muito bom .,ambiente
Excelente local climatizado muito top,"localização, ambiente"
"Fica bem perto da sorveteria glacial, do tacacá da gisela, então dá pra conhecer várias coisas num dia só!","localização, outros"
Ambiente lindíssimo e deliciosas tortas e salgados!,"ambiente, comida"
Ambiente aconchegante e familiar.,ambiente
"Um dos melhores restaurantes de Manaus,atendimento vip,com uma grande opção de refeição,e uma ótima carta de vinhos,localizado em um bairro nobre de manaus,de fácil acesso, excelente estrutura e ótimo ambiente.","serviço, comida, bebida, localização, ambiente, preço"
"O lugar é lindo, a comida uma delícia, música boa, super recomendo.","comida, ambiente, bebida, geral"
"Comida regional de qualidade, extremamente saborosa, ambiente agradável e um bom atendimento.","comida, ambiente, serviço"
"Pense num restaurante que gosto muito de frequentar, adoro o paladar, ambiente gostoso e atendimento nota 1000.","comida, ambiente, serviço"
"Ótimo local pra tomar várias, com uma boa música ao vivo","bebida, ambiente"
"O Restaurante tem boa localização, ambiente interno agradável, decoração  com toques regionais  e cozinha que representa bem os sabores amazônicos.","localização, ambiente, decoração, comida"
Top mesmo !,"comida, bebida, serviço"
"O restaurante tem um espaço aconchegante, agradável, equilibrando o rústico com...Mais","ambiente, outros"
"Lugar intimista, poucas mesas, decoração legal, bela vista do teatro Amazonas, excelente para um jantar a dois.","ambiente, outros"
"O ambiente requintado, manobrista incluído e atendimento excelente.","ambiente, serviço"
"Lugar sensacional, comida deliciosa, música boa.","comida, ambiente"
"Ótimo local pra entretenimento com amigos , família , só achei o cara o preço da comida mas e assim mesmo além shopping","comida, preço, geral, localização"
Restaurante com ambiente agradável e comida excelente!,"comida, ambiente"
Amei... Atendimento e cordialidade excelente... Cerveja estupidamente gelada... Música boa e agradável à todos os gostos... Excelente... Sensacional...,"serviço, bebida, ambiente, comida"
Ótimo ambiente e variedades de sopas.,ambiente
"Ambiente super agradável, bom atendimento, comida maravilhosa e preço justo.","comida, serviço, preço, ambiente"
"Ambiente agradável, e a pizza de excelente qualidade.","ambiente, comida"
"Ambiente agradável, atendentes educados e simpáticos, ótimas opções de salda e preço acessível.","ambiente, serviço, comida, preço"
O ambiente melhor ainda.,ambiente
"Cachaçaria situada dentro do shopping Manauara, com ambiente agradável típico de boteco, com opções de pratos e porções regionais.","ambiente, comida"
Precisa ofertar melhores alternativas para 2 pessoas.,"comida, bebida, serviço"
"Ambiente bonito, estacionamento próprio, preços honestos e a comida estava muito boa.","comida, ambiente, localização, preço"
Ambiente agradável e ótimo atendimento.,"ambiente, serviço"
"Ambiente ótimo, atendimento ágil, sabores maravilhosos mas não é um restaurante barato, o que compensa no sabor.","ambiente, serviço, comida, preço"
Ótimo ambiente,ambiente
"Bem localizado, ótima decoração, música perfeita e preço muito justo com comida bem servida.","localização, ambiente, preço, comida"
"Local agradável, decoração criativa e serviço atencioso.","ambiente, serviço"
"um dos melhores restaurantes de Manaus, um bom atendimento, recepção maravilhosa, comida de boa qualidade, ambiente sofisticado e bem organizado, um ótimo restaurante para a família, fui atendida pelo Pedro jack","<frase>
                comida, serviço, ambiente"
"Sempre que fomos a esse restaurante a comida foi muito boa, o atendimento também, o ambiente bonito, com espaço kids ótimo.","comida, serviço, ambiente, outros"
"Acredito que conta com diferencial fundamental para o sucesso do negócio, que é a presença do proprietário no salão, cumprimentando todos os clientes, uma a um.",serviço
"ambiente familiar, descontraído, ideal para levar a família, restaurante conta com um suculento bufe, os garçons são super educados, estacionamento amplo, bem localizado, comodidade na forma de pagamento e ambiente espaçoso.","ambiente, serviço, localização, comodidade"
"Excelente, lugar sofisticado, com um público excelente, comida de primeira qualidade, com espaço kids, música de primeira, possibilidade de um ambiente lounge bem descolado com DJ, tocando o que há de melhor, Preços dentro da realidade, sinceramente a melhor opção de Manaus.","comida, bebida, serviço, ambiente, preço, geral"
"Um ambiente muito divertido e animado, ideal para trazer família e amigos",ambiente
Tem ambiente climatizado e ambiente externo.,ambiente
"Ambiente amplo, bem climatizado, pratos deliciosos, atendimento excelente!","<frase>
                ambiente, comida, serviço"
"Excelente ambiente e atendimento, comida muito boa.","ambiente, atendimento, comida"
"Por vezes jogavam a carne praticamente crua no prato... Ambiente bom, garçons simpáticos e prestativos.","comida, ambiente, serviço"
"Ambiente muito bom, o peixe é de primeira.","comida, ambiente"
"Restaurante muito bonito, decoração impecável !",ambiente
Ótimo ambiente.,ambiente
"Decoração impecável, sofisticada e leve!",ambiente
"Agradável local para relaxar, conversar e apreciar a natureza.","localização, ambiente"
"O ambiente oferece espaço especial para festas de confraternização, além de brinquedoteca.","ambiente, outros"
Um ótimo ambiente vale apena,ambiente
"Café bem servido e de qualidade,ambiente agradável, muito bom atendimento.","<frase>
                café, ambiente, atendimento"
"Ambiente aconchegante, atendimento excelente,comida maravilhosa.","comida, ambiente, serviço"
Ambiente agradável mas com muita gente fica apertado e bem barulhento,"ambiente, lotação, barulho"
"Espaço super agradável, atendimento excelente e comida deliciosa.","comida, serviço, ambiente"
"Ambiente agradável, Boa musica e com cardápio para agradar qualquer paladar.","ambiente, música, comida"
"Comida excelente, atendimento muito bom e uma vista única!","comida, serviço"
"Ambiente aconchegante e bem limpo, culinária muito boa.","ambiente, comida"
Excelente ambiente,ambiente
Esportes ao ar livre e possibilidade para banho de rio.,"a frase analisada ""esportes ao ar livre e possibilidade para banho de rio"" não se refere a um restaurante e, portanto, não pode ser classificada em nenhum dos temas relacionados a restaurantes que foram listados parece se referir a um local com características de lazer ao ar livre, mas não fornece informações suficientes para classificar em qualquer um dos temas dados"
Ambiente espaçoso e atendimento rápido.,"ambiente, serviço"
"Ambiente extremamente  agradável, atendimento de excelência,  recomendo sempre.","ambiente, serviço, geral"
Ambiente familiar e a comida é gostosa.,"comida, ambiente"
"Comida muito boa, ambiente agradavel e otimo atendimento (em especial a Rosi) ?","<frase>
                comida, ambiente, serviço"
A melhor do ramo de grelhados... ótimo ambiente e atendimento excelente...,"serviço, ambiente"
"Ambiente agradável, de bom acesso!","ambiente, acesso"
"Espaço um pouco pequeno mas um ambiente aconchegante, bom atendimento e pizzas deliciosas.","ambiente, serviço, comida"
Ambiente excelente.,ambiente
"Experiência ótima,  alimento diversos , ambiente limpo, com atendimento,  show indico a amigos","comida, ambiente, serviço, geral"
"Amei, ótimo ambiente para confraternizações!",ambiente
"Lugar incrível, atendimento personalizado, ótimas indicações, do gerente aos garçons, ao Chefe, todos muito atenciosos, música boa.","serviço, ambiente, outros"
Muitas opções e ambiente agradável!!!,ambiente
"Ambiente muito legal, e equipamentos ótimos para se divertir","ambiente, outros"
Ambiente agradável e com música boa.,"ambiente, outros"
Esse padrão vem sendo mantido desde sua abertura e nós somos clientes habituais.,"comida, serviço"
"Ótimo atendimento, pelos garçons Steven e Ari , boa música e comida excelente.","serviço, comida, outros"
Ambiente aconchegante.,ambiente
"Excelente local para se divertir com amigos, uma boa música, lugar simples e aconchegante pela história, no carnaval então sem comentários!","localização, ambiente, outros"
"Ambiente super gostoso, descontraído, entrada que e um caldo de tucunare maravilhoso, fomos super bem atendidos, trouxeram gis de cera e desenho para minha filha.","ambiente, comida, serviço"
Música boa com um variado cardápio de bebidas e gente bonita.,"comida, bebida, ambiente, geral"
"Ótimo ambiente, bem limpo, organizado, excelente atendimento, garçom Pablo super atenciosos e comida muito boa.","ambiente, serviço, comida"
"Atendimento muito bom, ambiente confortável, rodízio bem servido, entradas gostosas, acompanhamentos saborosos e Sobremesas gostosas.","serviço, ambiente, comida, outros"
Ambiente agradável e atendimento muito bom.,"serviço, ambiente"
"Ótimo atendimento, comida gostosa, ambiente aconchegante.","serviço, comida, ambiente"
"Restaurante com comidas deliciosas, ambiente familiar, local muito bom pra encontros, reuniões e jantares em família.","comida, ambiente, localização"
"Ambiente agradabilíssimo, pratos bem apresentados e, principalmente, bem sevidos.","comida, ambiente, serviço"
Fomos na unidade do shopping manauara... Ambiente excelente.,ambiente
"Restaurante flutuante com comida muitooo boa, atendimento excelente, várias opções de drinks, música boa e um banhoi de rio revigorante!","comida, bebida, serviço, ambiente, outros"
"O restaurante tem fácil acesso, local seguro, cardápio variado e ótimo serviço.","serviço, localização, comida, cardápio"
"Ambiente aconchegante e agradável, ideal para pequenos grupos.",ambiente
"òtima opção para sair entre amigos, família e casal... o ambiente oferece área climatizada e ao ar livre, variados tipos de comida no cardápio, por varias vezes vou a cachassaria do Dede aos finais de semana para saborear o melhor escondidinho do Dedé de Manaus...Mais","<frase>
                ambiente, comida, serviço, localização"
"Ambiente familiar, climatizado e ao ar livre.",ambiente
"Além dos pratos bem servidos e saborosos, o atendimento é acolhedor, com  um espaço físico agradável e devidamente climatizado.","comida, serviço, ambiente"
Ambiente agradável e música boa!,"ambiente, música"
"Ótimo ambiente, atendimento de qualidade e agilidade, parabéns","ambiente, serviço"
"ambiente aconchegante, comida da melhor qualidade, muito bom mesmo","<frase>
                ambiente, comida"
"Precisa aumentar a quantidade de banheiro, restante show",banheiro
"Um lindo ambiente com uma decoração regional belíssima e bom atendimento, porém a comida deixou a desejar, senti a falta de um toque de um chef de responsa.","ambiente, serviço, comida"
Ambiente quente os banheiros tem ar condicionado o salão parece não ter.,"ambiente, outros"
Um restaurante bem conceituado na cidade com ambiente elegante e acolhedor.,ambiente
Ambiente super agradável com uma vista linda para o teatro.,"ambiente, outros"
"Vale a pena almoçar ou parar para um lanche no Lo de Maria, ambiente pequeno,super charmoso, bem decorado.","ambiente, outros"
Ambiente muito agradável e muitos pizza deliciosas e ainda um excelente atendimento,"ambiente, comida, serviço"
Ambiente aconchegante.,ambiente
"Ótimo atendimento, melhor ambiente e o garçom Ezaquiel super educado e muito prestativo.","serviço, ambiente"
Ambiente muito aconchegante.,ambiente
"Ambiente ótimo, jantar delicioso e atendimento super agradável pelo garçom Bruno em conjunto com o Ricardo, voltarei e espero ser atendida por eles novamente.","ambiente, comida, serviço"
Ambiente convidativo tanto para amigos e família.,ambiente
Porém ar condicionado não tá rendendo nesse verão.,"localização, outros"
Comida ótima e atendimento melhor ainda é ambiente agradável.,"comida, serviço, ambiente"
Comida agradável ambiente ótimo,"comida, ambiente"
"Ambiente muito agradável, cardápio diversificado com açaí e muitos pratos da culinária regional.. Experimentei o pato no tucupi, muito bom!","comida, ambiente"
"Ambiente agradável, atendimento excelente e pratos sofisticados, vale cada centavo.","ambiente, serviço, comida"
"Ambiente acolhedor , comida regional manauara com toque de chef .","comida, ambiente"
"Nos finais de semana há música ambiente, quase sempre uma MPB suave que não atrapalha a conversa e o couvert artístico é em torno...Mais","ambiente, música"
Ambiente maravilhoso!!!!,ambiente
Ambiente agradavel e a localização e boa.,"ambiente, localização"
"A excelente estrutura do local, com um ambiente moderno e de bom gosto, além de facilidades como estacionamento gratuito com manobrista, não fazem com que esta casa perca o foco no principal, que é a qualidade da comida.","ambiente, estacionamento, comida"
"Preço justo, espaço muito agradável, estacionando amplo, além de contar com espaço kids (maior diferencial deste restaurante em relação aos demais da cidade).","localização, ambiente, outros"
"Ambiente amplo e confortavel, indico a do Amazonas shopping  e a do mileniun shopping que ja é  um local mais tranquilo para  tanto no almoço quanto no jantar.","ambiente, localização"
Ambiente muito bonito e a comida é excelente.,"comida, ambiente"
Música de qualidade=pop rock.,musica
Atendimento excelente e espaço muito tranquilo,"serviço, ambiente"
"Muito bom, ambiente familiar.",ambiente
"Sabor, ambiente familiar....frequentadora a muitos anos","comida, ambiente, serviço"
"Frequento o rodízio de massas ao menos um domingo por mês....os molhos são uma delícia...ambiente refrigerado, sempre arrumado e limpo.Ambiente familiar, estacionamento fácil, e o preço é acessível.","comida, ambiente, estacionamento, preço"
"O ambiente é um detalhe a parte, conta com boa decoração com enfase nos materiais da região.",ambiente
"Muito interessante a decoração temática, fora o sabor que é surpreendente.","ambiente, comida"
Ambiente bom e agradável.,ambiente
"Adoramos o café, ambiente muito agradável e aconchegante.","ambiente, bebida"
"O Choupana é um dos melhores restaurantes em Manaus, com ambiente, atendimento e música excelente.","<frase>
                ambiente, serviço, música"
"Ambiente bom e tranquilo,  bem pequeno .",ambiente
"Lugar agravel e Familiar, muito bom mesmo","ambiente, geral"
Ambiente bem decorado e bom atendimento.,"serviço, ambiente"
"Comida boa, ambiente agradável, garçons solícitos.","comida, ambiente, serviço"
Flutuante com uma vista incrível para o pôr do sol ...sempre quando posso estou  no abaré recarregando as minhas energias !!!,"vamos analisar a frase fornecida:

""flutuante com uma vista incrível para o pôr do sol sempre quando posso estou no abaré recarregando as minhas energias !!!""

a partir dessa frase, podemos identificar os seguintes temas:

- ambiente: ""flutuante com uma vista incrível para o pôr do sol""
- geral: ""sempre quando posso estou no abaré recarregando as minhas energias !!!""

portanto, a saída seria:

ambiente, geral"
Ambiente excelente.,ambiente
Ambiente agradável com opção de atendimento interno e externo.,"ambiente, serviço"
"Muito bom, ambiente família.",ambiente
Ótimo ambiente.,ambiente
"Pé direito bem alto, que mantém a refrescância, apesar de ter também ar condicionado.","na frase fornecida, os temas identificados são:

- ambiente
- outros (refrescância e ar condicionado são elementos que não se enquadram nas categorias pré-definidas de serviço, bebida, comida, localização, preço ou geral)"
"A picanha mania proporciona a melhor comida de manaus, alem de um ambiente super confortavel e aconchegante.","comida, ambiente"
"Excelente comida, amei , fomos muito bem atendidos pelo garçom Izequiel rapaz muito atencioso e com ótimo bom humor, ambiente agradável, comida bem servida e rápida. ?","comida, serviço, ambiente"
"Comida deliciosa, ambiente agradável e funcionários atenciosos","comida, ambiente, serviço"
"Ambiente agradável ,comida  muito boa, e atendimento ok. Pedi pra levar o q sobrou da minha pizza e tive q pagar a embalagem, mas ok.","comida, ambiente, serviço, preço, outros"
Ótimo ambiente e grande variedade de opções de pratos.,"ambiente, comida"
"Na filial que fui, perto do estádio, há uma ala com ar condicionado e uma refrigerada somente por ventiladores.","a partir da análise da frase fornecida:

""na filial que fui, perto do estádio, há uma ala com ar condicionado e uma refrigerada somente por ventiladores""

os temas identificados são:

ambiente
outros"
"Tradição em um só lugar, música boa.","ambiente, outros"
"Lugar incrível, dono super receptivo, sempre perguntando se estamos confortável.","serviço, ambiente"
"Excelente comida, bom atendimento.Pratos típicos, ambiente agradável, sobremesa deliciosas.","comida, serviço, ambiente, sobremesa"
"Há um espaço kids com monitor, o que é ótimo para os pais (só precisava ser um pouco...Mais","ambiente, outros"
"Atendimento excelente com qualidade do Rodrigo Uchôa, ambiente agradável com música ao vivo, recomendo a todos","serviço, ambiente, geral"
Local acochegante e com um ambiente bem agradável....,ambiente
"O restaurante tem um espaço agradável, uma vista muito bonita para o Teatro Amazonas e um cardápio variado que procura modernizar alguns pratos...Mais","ambiente, localização, comida"
Top maravilhoso,top maravilhoso
"ótima comida, ambiente agradavel","comida, ambiente"
Ambiente agradável e som maravilhoso,"ambiente, som"
"O rodízio deixou a desejar, as massas estavam sem sal, as pizzas com dificuldade para o corte na parte da massa também sendo um pouco duras e de difícil acesso para o corte.","comida, serviço"
Ótima comida regional,comida
Restaurante bem localizado de fácil acesso com estacionamento para clientes e se você estiver hospedado em hotel a vam vai buscar e deixar você no hotel.,"localização, outros"
Ambiente agradável.,ambiente
Ambiente  muito aconchegante com ótima seleção musical.,"ambiente, música"
"Bebida ok, climatização ruim pois estava muito quente, cantora ai vivo fraca e com músicas fracas, atendimento excelente, comida regular.","bebida, ambiente, entretenimento, serviço, comida"
"Outro ingrediente obrigatório na mesa dos amazonenses - e de grande parte dos moradores do Norte - é a banana pacovã, uma ‘irmã’ da nossa banana-da-terra.",comida
Ambiente familiar muito bom para passeio e lanche com a família e amigos.,"ambiente, geral"
Comida excelente e ambiente agradável.,"comida, ambiente"
"Excelente, muito bom  Super educado e prestativo o sr. Vinicius  Sobre a Música ambiente gostei da playlist  Parabéns!!","serviço, ambiente (música)"
"Ambiente agradável, bom para conversar com amigos",ambiente
"Ambiente super agradável, música excelente.","ambiente, música"
"Excelente cafeteria, ambiente confortável, limpo e com uma culinária excelente.","comida, ambiente"
Ambiente fantástico e familiar... super recomendo,ambiente
"É conectado à uma hamburgueria artesanal, o que permite que você peça seu sanduíche a partir do bar.","comida, bebida"
Familiar ambiente,ambiente
"Ótimo local, ambiente familiar.","localização, ambiente"
"Bem localizado, ambiente agradável e cardápio com opções variadas","localização, ambiente, comida"
"Ambiente agradável, simples, mas OK. O serviço é muito bom e rápido.","ambiente, serviço"
Ambiente agradável e excelente atendimento!,"serviço, ambiente"
"Ambiente agradável para almoços e comemorações, comida saborosa e atendimento excelente pelo garçom Izaquiel.","<frase>
                ambiente, comida, serviço"
"Ambiente muito bom, atendimento rápido e eficiente pelo garçom Franklin e comida excelente.","ambiente, serviço, comida"
"Ótimo ambiente, comida bem saborosa, porém há pontos a serem melhorados, como por exemplo: o pedido de outras mesas foram servidos mais rápido que a nossa e ao final, a nossa embalagem para viagens foi trocada e só percebemos quando chegamos em casa!","ambiente, comida, serviço, outros"
"Fora que os artistas fazem um pequeno show maravilhoso, entretendo toda a família.","ambiente, outros"
Ambiente  agradabilíssimo e com música ao vivo final de semana.,ambiente
Ambiente e comida top,"comida, ambiente"
"É também um ambiente acolhedor, com excelente atenção à mesa.","ambiente, serviço"
"Ótimo lugar, ambiente aconchegante, com funcionários atenciosos, tempestividade dos pedidos,  e preços justos,","comida, ambiente, serviço, preço"
Churras de qualidade e bebidas geladinhas ótimo ambiente família,"comida, bebida, ambiente"
Ambiente familiar e comida saborosa,"comida, ambiente"
"Gostei muito, ambiente super ventilado, comidas deliciosas, boa música, atendentes super educados","ambiente, comida, música, serviço"
"Ambiente maravilhoso e atendimento nota 10 pelo garçom Izaquiel, muito atencioso e solicito.","<frase>
                ambiente, serviço"
Ambiente família e bem climatizado.,ambiente
Ambiente agradável,ambiente
Ótimo local,localização
"Tradicional, ambiente agradável, e ÚNICO a VENDER um FILÉ ALTO.","a partir da análise da frase fornecida, os temas identificados são:

ambiente
comida"
"Ambiente aconchegante, ótimo atendimento, cardápio variado e excelente qualidade.","ambiente, serviço, comida"
"Se deseja conhecer um ótimo ambiente para saborear ótimos pratos, o Banzeiro deve fazer parte do seu roteiro.","comida, ambiente"
Excelente local!,localização
Excelente música!,música
O local oferece um ambiente agradável para reunir família e amigos....?,ambiente
"Bom local para café da tarde e lanches, boa localização, tem estacionamento, bom atendimento, tem ambiente térreo e mezanino, preços ok,","localização, estacionamento, serviço, ambiente, preço"
Ótimo ambiente e comida,"comida, ambiente"
Sempre com música boa.,ambiente
Ótimo tudo muito  gostoso,"<frase>
                comida, geral"
Atendimento ótimo / brinquedos internos e externos /cardápio pra almoço e jantar á qualquer dia e hora / rodízio de pizza ótimo .,"serviço, ambiente, comida, outros"
"Boa comida, bom ambiente, excelente atendimento.","comida, ambiente, serviço"
O atendimento é excelente e o ambiente animadíssimo!!!,"serviço, ambiente"
"Muito bom ,o dono muito prestativo sempre com seus clientes.",serviço
"Ambiente super agradável, atendimento de primeira, comida deliciosa e preço muito justo!","<frase>
                ambiente, serviço, comida, preço"
"Ótimo atendimento desde a entrada, do garçon Erick ... Mamma mia casa de rodízios está de parabéns, ambiente muito agradável ?","serviço, comida, ambiente"
"Ambiente tranquilo, música boa e um ótimo atendimento.","ambiente, serviço"
"Variedades de pratos e sobremesas, espaço aconchegante e confortável e preços moderados.","comida, ambiente, preço"
Obrigado  Excelente ambiente!,ambiente
"Ambiente bonito,boa comida,presta um bom serviço... Problema é horário... Estava lá numa quinta feira as 22:30 estavam empilhando cadeiras e desligaram o ar condicionado tipo: VAI EMBORA!!!","ambiente, comida, serviço, outros"
"Restaurante com ambiente agradável, cardápio variado para todos os gostos.","ambiente, cardápio"
Ambiente  familiar pizza muito gostosa atendimento de excelência  estão de parabéns,"comida, ambiente, serviço"
Pato no tucupi top...!,comida
Ambiente amplo e música muito agradável.,"ambiente, música"
"Muito bom, pratos bem executados, saborosos, atendimento muito bom, decoração agradável, um ponto de observação do meu ponto de vista, foi para a sobremesa, pedi um creme de cupuaçu, tá veio o creme propriamente dito, mas sem nenhuma decoração, uma taça com o creme, só....Mais","comida, serviço, ambiente, outros"
Ambiente agradável com a melhor carne de sol de Manaus.,"ambiente, comida"
"Ambiente agradável,pratos deliciosos.","comida, ambiente"
"Pizza boa ambiente climatizado, preço razoável porém, um local bastava barulhento as vez é impossível conversar lá.","comida, ambiente, preço, outros"
comida deliciosa...ambiente agradavel e charmoso...bem localizado.,"comida, ambiente, localização"
"Ambiente agradável, comida de boa qualidade, champanhe com temperatura ideal, atendimento excelente, recomendamos para quem desejar degustar o melhor da comida regional amazonense.","ambiente, comida, bebida, serviço"
"Cerveja gelada, tira-gostos muito bom, ótimo ambiente e atendimento bem realizado.","comida, bebida, serviço, ambiente"
"Um pedacinho de Minas Gerais no coração do Parque Dez, ambiente aconchegante com deliciosos e variados pratos e um atendimento de excelência.","comida, ambiente, serviço"
"Incrível, ótimo ambiente e ótima comida.","comida, ambiente"
"Ambiente agradável, opções saborosas no cardápio!","<frase>
                ambiente, comida"
Ambiente muito legal.,ambiente
Música boa e comida maravilhosa,"comida, bebida"
"O ambiente é um casarão antigo do ciclo da borracha, com a vista pro poético Teatro Amazonas.",ambiente
"Ambiente bacana, atendimento bom, porém as porções sao pequenas.","ambiente, atendimento, porções"
O rolinho primavera foi a melhor parte  da degustação.,comida
Boa música e localização.,"música, localização"
"Carne deliciosa, ambiente muito bom, e tem um playground maravilhoso para as crianças brincarem, acho que é o melhor de Manaus para famílias","comida, ambiente, outros"
Música excelente,música
O espaço bem iluminado e com bom espaço entre as mesas permite conversar em tom normal de voz.,"ambiente, outros"
Ótimo ambiente para saborear os peixes da nossa região.,"ambiente, comida"
"Ambiente sensacional, atendimento excelente.","ambiente, serviço"
"Carnes excelentes, atendimento muito, tem espaço kids (só que fica no andar de baixo do restaurante, próximo a garagem), muito caro o valor.","comida, serviço, ambiente, preço"
"Ambiente agradável e atendimento cordial, ja os preços são muito caro.","comida, bebida, serviço, preço, geral"
"Muito bom, ótimo ambiente.",ambiente
"Nossa extraordinário a atendente super atenciosa ela está de parabéns, não faz distinção de cor ou vestimenta ?????????",serviço
"Comida: pirarucu, camarão boa viagem, saborosos, sobremesa maravilhosa.","comida, bebida"
"Lugar tranquilo sem muita poluição sonora ótima comida e bem divido, tem até um lugar pra crianças pequenas.","comida, bebida, ambiente, outros"
"O ambiente ornamentado de peças interessantes, uma canoa na parede.",ambiente
"EXCELENTE ambiente,  serviço de salão ótimo, porém acredito que por motivo da quantidade de pessoas a serem servidas ao mesmo tempo, salão lotado, com o isso palato não  difunde de alguns restaurantes comuns.","ambiente, serviço"
A Hamburguela foi uma das experiências mais fantásticas em relação tanto ao atendimento quanto a comida.,"comida, serviço"
Excelente atendimento!,serviço
"A primeira vez de muitas que virão,virei fã.","serviço, ambiente, comida"
"Lugar agradável, ótimo atendimento, cardápios deliciosos.","serviço, ambiente, comida"
Atendimento muito bom.,serviço
"Gostamos muito, comida muito saborosa, ambiente ótimo para almoçar com os colegas de trabalho, excelente atendimento do Phelipe, muito educado e atencioso.","comida, ambiente, serviço"
Atendimento maravilhoso pelo Ricardo José.,serviço
Atendimento otimo comida  da melhor qualidade,"serviço, comida"
Atendimento excelente do Rodrigo Uchoa e comida como sempre deliciosa.,"serviço, comida"
Atendimento incrível e comida extremamente saborosa.,"serviço, comida"
